organization,cohort date,nurse id,deid_names,employment start date,type of unit,age,gender,nursing degree received,gpa,employment status,previous health care work experience,leave,type of leave,termination,termination date,tenure,termination reason,id,education_clean,gpa_numeric
Emory Johns Creek Hospital,2021-07-12,0445893,14166,2021-07-12,General Surgical Inpatient Unit,42.0,Female,Bsn,3.0 - 3.49,Full-Time,,No,,Yes,2023-05-14,1.838356164,Other/Unknown,21045,Brenau University,3.25
Emory Johns Creek Hospital,2021-07-12,0447923,14167,2021-07-19,General Medical Inpatient Unit,40.0,Female,Bsn,3.0 - 3.49,Full-Time,,No,,No,,,,21046,Brenau University,3.25
Emory University Hospital,2021-04-16,0442285,14168,2021-03-22,Oncology Inpatient Unit,24.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,Yes,2023-02-18,1.912328767,Other/Unknown,21047,Brenau University,3.25
Emory Johns Creek Hospital,2021-02-15,0446370,14169,2021-03-22,General Surgical Inpatient Unit,43.0,Female,Bsn,3.0 - 3.49,Full-Time,,No,,Yes,2023-05-03,2.115068493,Obtained Position Representing A Different Job Experience,21048,Brenau University,3.25
Emory University Hospital,2018-10-15,0430921,14170,2018-10-15,General Medical Inpatient Unit,31.0,Female,Bsn,2.5 - 2.99,,,No,,Yes,2018-12-12,0.1589041096,Other/Unknown,21049,Brenau University,2.75
Emory Decatur Hospital,2020-10-13,0443008,14171,2020-10-05,General Medical Inpatient Unit,35.0,Female,Bsn,3.5 And Above,,,Yes,Medical,Yes,2022-02-22,1.383561644,Did Not Return From Leave Of Absence,21050,Brenau University,3.75
Emory Saint Joseph’S Hospital,2020-10-12,1807011,14172,2020-10-12,Medical/Surgical Inpatient Unit,28.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,Yes,2022-03-02,1.38630137,Other/Unknown,21051,Brenau University,3.25
Emory University Hospital,2020-08-06,0405394,14173,2020-06-14,Oncology Inpatient Unit,32.0,Female,Accelerated Bsn,3.0 - 3.49,,,No,,No,,,,21052,Brenau University,3.25
Emory University Hospital Midtown,2020-08-01,0442414,14174,2020-05-01,Emergency Department,26.0,Female,Accelerated Bsn,3.5 And Above,Full-Time,,No,,No,,,,21053,Brenau University,3.75
Emory University Hospital,2020-07-30,0422410,14175,2020-06-03,Medical/Surgical Intermediate Unit,24.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21054,Brenau University,3.25
Emory University Hospital,2020-07-30,0442598,14176,2020-08-03,General Medical Inpatient Unit,34.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2023-03-11,2.602739726,Other/Unknown,21055,Brenau University,3.75
Emory University Hospital,2020-07-30,2320135,14177,2020-08-03,Transplant Unit,26.0,Female,Accelerated Bsn,3.5 And Above,,,No,,Yes,2021-11-24,1.309589041,Disability/Illness/Injury,21056,Brenau University,3.75
Emory Decatur Hospital,2020-07-21,2292317,14180,2020-07-13,Medical/Surgical Icu Inpatient Unit,27.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21059,Brenau University,3.25
Emory Saint Joseph’S Hospital,2020-07-13,0442289,14181,2020-07-13,Medical/Surgical Intermediate Unit,31.0,Female,Bsn,3.5 And Above,Per Diem,,No,,No,,,,21060,Brenau University,3.75
Emory Saint Joseph’S Hospital,2020-07-13,0442293,14182,2020-07-13,Oncology Inpatient Unit,23.0,Female,Bsn,3.5 And Above,Full-Time,,No,,No,,,,21061,Brenau University,3.75
Emory Saint Joseph’S Hospital,2020-07-13,0442508,14183,2020-07-13,Oncology Inpatient Unit,24.0,Female,Bsn,3.0 - 3.49,,,No,,Yes,2021-08-29,1.128767123,Obtained Position Representing A Different Job Experience,21062,Brenau University,3.25
Emory University Hospital Midtown,2020-04-01,0420872,14184,2020-03-30,Cardiac/Heart/Vascular Critical Care,47.0,Female,Bsn,3.5 And Above,,,No,,No,,,,21063,Brenau University,3.75
Emory University Hospital Midtown,2019-10-31,0438014,14185,2019-10-28,Cardiac/Heart/Vascular Critical Care,31.0,Male,Bsn,3.0 - 3.49,,,No,,No,,,,21064,Brenau University,3.25
Emory Johns Creek Hospital,2019-10-14,0438559,14186,2019-10-28,Perioperative Or,25.0,Male,Bsn,3.0 - 3.49,Full-Time,,No,,Yes,2021-10-03,1.934246575,Travel Nurse,21065,Brenau University,3.25
Emory University Hospital Midtown,2019-07-25,0436220,14187,2019-07-29,Emergency Department,22.0,Female,Bsn,3.0 - 3.49,Full-Time,,No,,Yes,2020-08-03,1.016438356,Relocating Out Of Area,21066,Brenau University,3.25
Emory University Hospital Midtown,2019-02-28,0432830,14188,2019-02-28,Emergency Department,28.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21067,Brenau University,3.25
Emory University Hospital,2024-10-28,0475021,14189,2024-11-11,General Surgical Inpatient Unit,28.0,Female,Masters,3.0 - 3.49,Full-Time,,No,,Yes,2025-04-29,0.4630136986,Other/Unknown,21068,Brenau University,3.25
Emory Decatur Hospital,2023-11-14,0461776,14190,2023-11-13,Obstetrics/Labor & Delivery Inpatient Unit,52.0,Female,Masters,3.5 And Above,Full-Time,,No,,Yes,2024-07-27,0.704109589,Unsatisfactory Performance,21069,Brenau University,3.75
Emory Saint Joseph’S Hospital,2018-07-16,578260,14192,2018-07-16,Medical/Surgical Inpatient Unit,41.0,Female,Bsn,3.0 - 3.49,Full-Time,,No,,Yes,2021-09-11,3.15890411,Travel Nurse,21071,Brenau University,3.25
Emory Saint Joseph’S Hospital,2018-07-16,749221,14193,2018-07-16,Medical/Surgical Intermediate Unit,22.0,Female,Bsn,3.0 - 3.49,Full-Time,,No,,No,,,,21072,Brenau University,3.25
Emory University Hospital,2018-02-23,0422833,14195,,Emergency Department,37.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21074,Brenau University,3.25
Emory University Hospital,2018-02-23,0423463,14196,,Rehabilitation Inpatient Unit,35.0,Male,Bsn,3.0 - 3.49,,,No,,No,,,,21075,Brenau University,3.25
Emory University Hospital,2018-02-23,1291259,14197,,Neonatal Icu Inpatient Unit,29.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21076,Brenau University,3.25
Emory University Hospital,2017-07-18,0413862,14198,,Cardiac/Heart/Vascular Critical Care,27.0,Male,Bsn,3.0 - 3.49,,,No,,No,,,,21077,Brenau University,3.25
Emory University Hospital,2017-07-18,0420049,14199,,Perioperative Or,51.0,Male,Bsn,3.0 - 3.49,,,No,,No,,,,21078,Brenau University,3.25
Emory University Hospital,2017-07-18,0420191,14200,,General Surgical Inpatient Unit,44.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21079,Brenau University,3.25
Emory University Hospital,2017-02-24,474425,14201,,Orthopedic Inpatient Unit,47.0,Female,Bsn,3.5 And Above,,,No,,No,,,,21080,Brenau University,3.75
Emory University Hospital,2016-10-11,0410987,14202,,Rehabilitation Inpatient Unit,34.0,Female,Bsn,3.5 And Above,,,No,,No,,,,21081,Brenau University,3.75
Emory University Hospital,2016-10-10,0415906,14203,,Medical/Surgical Icu Inpatient Unit,36.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21082,Brenau University,3.25
Emory University Hospital,2016-04-22,0359629,14204,,General Surgical Inpatient Unit,45.0,Female,Bsn,3.0 - 3.49,,,No,,No,,,,21083,Brenau University,3.25
